,Legislation Number,URL,Congress,Title,Sponsor,Date of Introduction,Committees,Latest Action,Latest Action Date,Number of Cosponsors,topic,cosponsor_ids
1069,H.R. 6864,https://www.congress.gov/bill/119th-congress/house-bill/6864,119th Congress (2025-2026),SAW Act,"Hoyle, Val T. [Rep.-D-OR-4]",2025-12-18,House - Judiciary,Referred to the House Committee on the Judiciary.,2025-12-18,5,Other,"['L000599', 'D000624', 'F000466', 'L000397', 'K000397']"
1070,H.R. 6863,https://www.congress.gov/bill/119th-congress/house-bill/6863,119th Congress (2025-2026),CAT Act of 2025,"Harder, Josh [Rep.-D-CA-9]",2025-12-18,"House - Energy and Commerce, Ways and Means","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2025-12-18,1,public_safety,['K000397']
1071,H.R. 6862,https://www.congress.gov/bill/119th-congress/house-bill/6862,119th Congress (2025-2026),Protecting Health Care Workforce Pipelines Act,"Harder, Josh [Rep.-D-CA-9]",2025-12-18,House - Education and Workforce,Referred to the House Committee on Education and Workforce.,2025-12-18,0,healthcare,[]
1072,H.R. 6861,https://www.congress.gov/bill/119th-congress/house-bill/6861,119th Congress (2025-2026),Consolidating Veteran Employment Services for Improved Performance Act,"Hamadeh, Abraham J. [Rep.-R-AZ-8]",2025-12-18,"House - Veterans' Affairs, Budget","Referred to the Committee on Veterans' Affairs, and in addition to the Committee on the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2025-12-18,0,veterans,[]
1073,H.R. 6860,https://www.congress.gov/bill/119th-congress/house-bill/6860,119th Congress (2025-2026),Parental Rights Relief Act,"Hageman, Harriet M. [Rep.-R-WY-At Large]",2025-12-18,House - Education and Workforce,Referred to the House Committee on Education and Workforce.,2025-12-18,1,veterans,['G000576']
1074,H.R. 6859,https://www.congress.gov/bill/119th-congress/house-bill/6859,119th Congress (2025-2026),HOTDOG Act,"Goldman, Daniel S. [Rep.-D-NY-10]",2025-12-18,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,2025-12-18,9,public_safety,"['D000530', 'R000579', 'G000598', 'G000586', 'V000131', 'C001125', 'T000488', 'S001230', 'S001221']"
1075,H.R. 6858,https://www.congress.gov/bill/119th-congress/house-bill/6858,119th Congress (2025-2026),Veteran Suicide Prevention Act,"Garbarino, Andrew R. [Rep.-R-NY-2]",2025-12-18,House - Veterans' Affairs,Referred to the Subcommittee on Health.,2026-01-22,6,veterans,"['H001047', 'L000599', 'N000191', 'K000398', 'D000230', 'O000086', 'H001090', 'M001238', 'R000600', 'H001081']"
1076,H.R. 6857,https://www.congress.gov/bill/119th-congress/house-bill/6857,119th Congress (2025-2026),Protecting Students on Campus Act of 2025,"Frankel, Lois [Rep.-D-FL-22]",2025-12-18,House - Education and Workforce,Referred to the House Committee on Education and Workforce.,2025-12-18,21,education,"['B001298', 'M001208', 'C001133', 'S001215', 'E000300', 'N000188', 'W000814', 'L000598', 'M001188', 'F000466', 'W000797', 'L000599', 'S001190', 'S000522', 'P000608', 'M000317', 'B001313', 'W000795', 'C001112', 'K000399', 'L000582']"
1077,H.R. 6856,https://www.congress.gov/bill/119th-congress/house-bill/6856,119th Congress (2025-2026),"To impose sanctions and other measures with respect to the Russian Federation if the Government of the Russian Federation refuses to negotiate a peace agreement with Ukraine, violates any such agreement, or initiates another military invasion of Ukraine, and for other purposes.","Fitzpatrick, Brian K. [Rep.-R-PA-1]",2025-12-18,"House - Foreign Affairs, Judiciary, Financial Services, Ways and Means, Oversight and Government Reform, Energy and Commerce, Rules","Referred to the Committee on Foreign Affairs, and in addition to the Committees on the Judiciary, Financial Services, Ways and Means, Oversight and Government Reform, Energy and Commerce, and Rules, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2025-12-18,20,environment,"['M001137', 'B001298', 'H000874', 'L000599', 'K000375', 'T000463', 'K000009', 'S001201', 'W000797', 'C001055', 'Q000023', 'S001205', 'T000460', 'S001211', 'L000606', 'K000398', 'M001231', 'B001285', 'A000148', 'M001238', 'G000599']"
1078,H.R. 6855,https://www.congress.gov/bill/119th-congress/house-bill/6855,119th Congress (2025-2026),White House Conference on Small Business Act of 2025,"Finstad, Brad [Rep.-R-MN-1]",2025-12-18,House - Small Business,Referred to the House Committee on Small Business.,2025-12-18,3,public_safety,"['D000230', 'W000829', 'K000404']"
1079,H.R. 6854,https://www.congress.gov/bill/119th-congress/house-bill/6854,119th Congress (2025-2026),No Welfare for Non-Citizens Act,"Fine, Randy [Rep.-R-FL-6]",2025-12-18,House - Oversight and Government Reform,Referred to the House Committee on Oversight and Government Reform.,2025-12-18,9,housing,"['L000596', 'B001282', 'K000405', 'R000619', 'D000032', 'M001235', 'R000614', 'H001098', 'M001233']"
1080,H.R. 6853,https://www.congress.gov/bill/119th-congress/house-bill/6853,119th Congress (2025-2026),Securing Energy Supply Chains Act,"Fallon, Pat [Rep.-R-TX-4]",2025-12-18,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,2025-12-18,0,environment,[]
1081,H.R. 6852,https://www.congress.gov/bill/119th-congress/house-bill/6852,119th Congress (2025-2026),Advanced Wound Care and Regenerative Medicine Access and Reform Act,"Evans, Gabe [Rep.-R-CO-8]",2025-12-18,"House - Energy and Commerce, Ways and Means","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2025-12-18,1,public_safety,['G000589']
1082,H.R. 6851,https://www.congress.gov/bill/119th-congress/house-bill/6851,119th Congress (2025-2026),Lowering American Energy Costs Act of 2025,"Espaillat, Adriano [Rep.-D-NY-13]",2025-12-18,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,2025-12-18,3,environment,"['C001067', 'T000481', 'N000147']"
1083,H.R. 6850,https://www.congress.gov/bill/119th-congress/house-bill/6850,119th Congress (2025-2026),DRIVE to HALT Drunk Driving Act,"Dingell, Debbie [Rep.-D-MI-6]",2025-12-18,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,2025-12-18,0,public_safety,[]
1084,H.R. 6849,https://www.congress.gov/bill/119th-congress/house-bill/6849,119th Congress (2025-2026),"To designate the facility of the United States Postal Service located at 2121 Meridian Park Boulevard in Concord, California, as the ""Carl Jefferson Post Office Building"".","DeSaulnier, Mark [Rep.-D-CA-10]",2025-12-18,House - Oversight and Government Reform,Referred to the House Committee on Oversight and Government Reform.,2025-12-18,0,housing,[]
1085,H.R. 6848,https://www.congress.gov/bill/119th-congress/house-bill/6848,119th Congress (2025-2026),Whole Health for Veterans Act,"Deluzio, Christopher R. [Rep.-D-PA-17]",2025-12-18,House - Veterans' Affairs,Referred to the Subcommittee on Health.,2026-01-29,0,veterans,[]
1086,H.R. 6847,https://www.congress.gov/bill/119th-congress/house-bill/6847,119th Congress (2025-2026),Fair Wages for Farmworkers Act,"De La Cruz, Monica [Rep.-R-TX-15]",2025-12-18,House - Judiciary,Referred to the House Committee on the Judiciary.,2025-12-18,1,rural,['S000168']
1087,H.R. 6846,https://www.congress.gov/bill/119th-congress/house-bill/6846,119th Congress (2025-2026),DEFEND Act,"Crane, Elijah [Rep.-R-AZ-2]",2025-12-18,House - Homeland Security,Referred to the House Committee on Homeland Security.,2025-12-18,5,veterans,"['G000597', 'M001157', 'S001220', 'O000175', 'P000048']"
1088,H.R. 6845,https://www.congress.gov/bill/119th-congress/house-bill/6845,119th Congress (2025-2026),S.T.O.P. Illicit Vapes Act,"Conaway, Herbert C. [Rep.-D-NJ-3]",2025-12-18,"House - Energy and Commerce, Judiciary","Referred to the Committee on Energy and Commerce, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2025-12-18,6,veterans,"['N000147', 'K000391', 'M001228', 'G000606', 'R000620', 'G000583', 'R000622']"
1089,H.R. 6844,https://www.congress.gov/bill/119th-congress/house-bill/6844,119th Congress (2025-2026),Tobacco TRACE Act,"Conaway, Herbert C. [Rep.-D-NJ-3]",2025-12-18,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,2025-12-18,5,environment,"['W000797', 'N000147', 'R000599', 'G000606', 'R000620']"
1090,H.R. 6843,https://www.congress.gov/bill/119th-congress/house-bill/6843,119th Congress (2025-2026),Establishing the Veterans Economic Opportunity and Transition Administration Act of 2025,"Ciscomani, Juan [Rep.-R-AZ-6]",2025-12-18,House - Veterans' Affairs,Referred to the House Committee on Veterans' Affairs.,2025-12-18,0,veterans,[]
1091,H.R. 6842,https://www.congress.gov/bill/119th-congress/house-bill/6842,119th Congress (2025-2026),Disaster Survivors Tax Relief and Recovery Act,"Chu, Judy [Rep.-D-CA-28]",2025-12-18,House - Ways and Means,Referred to the House Committee on Ways and Means.,2025-12-18,31,public_safety,"['S000344', 'T000460', 'P000197', 'A000371', 'B001300', 'B001285', 'C001112', 'C001059', 'D000623', 'F000483', 'G000559', 'G000598', 'J000305', 'K000400', 'L000593', 'L000607', 'L000582', 'L000397', 'M001163', 'M001241', 'M001225', 'P000613', 'P000608', 'R000620', 'R000599', 'S001156', 'S001193', 'T000472', 'T000491', 'W000830', 'C001123']"
1092,H.R. 6841,https://www.congress.gov/bill/119th-congress/house-bill/6841,119th Congress (2025-2026),PEERS Act of 2025,"Chu, Judy [Rep.-D-CA-28]",2025-12-18,"House - Energy and Commerce, Ways and Means","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2025-12-18,1,public_safety,['S001172']
1093,H.R. 6840,https://www.congress.gov/bill/119th-congress/house-bill/6840,119th Congress (2025-2026),ARMENIA Security Partnership Act,"Bilirakis, Gus M. [Rep.-R-FL-12]",2025-12-18,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,2025-12-18,25,public_safety,"['P000034', 'V000129', 'S000344', 'S000522', 'M001241', 'F000466', 'S001145', 'A000380', 'M001225', 'L000606', 'C001059', 'F000483', 'N000147', 'A000148', 'M001223', 'T000468', 'C001091', 'R000620', 'L000582', 'T000490', 'L000397', 'M001188', 'L000593', 'M001196', 'L000590', 'M001177']"
1094,H.R. 6839,https://www.congress.gov/bill/119th-congress/house-bill/6839,119th Congress (2025-2026),Vaccine Transportation Access Act,"Barragán, Nanette Diaz [Rep.-D-CA-44]",2025-12-18,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,2025-12-18,12,healthcare,"['C001072', 'C001068', 'D000624', 'G000586', 'G000599', 'N000147', 'S001200', 'T000469', 'V000131', 'B000490', 'R000621', 'F000483']"
1095,H.R. 6838,https://www.congress.gov/bill/119th-congress/house-bill/6838,119th Congress (2025-2026),"To amend the Federal Credit Union Act, the Federal Deposit Insurance Act, the Revised Statutes, and the Federal Reserve Act to require Federal banking agencies to consider economic growth when conducting supervisory functions.","Barr, Andy [Rep.-R-KY-6]",2025-12-18,House - Financial Services,Referred to the House Committee on Financial Services.,2025-12-18,0,funding,[]
1096,H.R. 6837,https://www.congress.gov/bill/119th-congress/house-bill/6837,119th Congress (2025-2026),"To amend the Employee Retirement Income Security Act of 1974 to ensure that pharmacy benefit managers are considered fiduciaries, and for other purposes.","Auchincloss, Jake [Rep.-D-MA-4]",2025-12-18,House - Education and Workforce,Referred to the House Committee on Education and Workforce.,2025-12-18,1,funding,['M001230']
1097,H.R. 6836,https://www.congress.gov/bill/119th-congress/house-bill/6836,119th Congress (2025-2026),Beginning Farmer Tax Incentive Act,"Alford, Mark [Rep.-R-MO-4]",2025-12-18,House - Ways and Means,Referred to the House Committee on Ways and Means.,2025-12-18,0,environment,[]
1098,H.R. 6835,https://www.congress.gov/bill/119th-congress/house-bill/6835,119th Congress (2025-2026),Veterans STAND Act,"Bergman, Jack [Rep.-R-MI-1]",2025-12-18,House - Veterans' Affairs,Referred to the Subcommittee on Health.,2026-02-12,15,veterans,"['B001295', 'N000191', 'G000583', 'M001194', 'G000592', 'H001058', 'D000230', 'N000147', 'L000599', 'C001121', 'L000397', 'V000135', 'J000307', 'N000193', 'L000590']"
1099,H.R. 6834,https://www.congress.gov/bill/119th-congress/house-bill/6834,119th Congress (2025-2026),STORE Act of 2025,"Bonamici, Suzanne [Rep.-D-OR-1]",2025-12-18,House - Agriculture,Referred to the House Committee on Agriculture.,2025-12-18,3,environment,"['S001216', 'S001226', 'N000147']"
1100,H.R. 6833,https://www.congress.gov/bill/119th-congress/house-bill/6833,119th Congress (2025-2026),"To amend title 38, United States Code, to reorganize the acquisition structure of the Department of Veterans Affairs and to establish the Director of Cost Assessment and Program Evaluation in the Department, and for other purposes.","Barrett, Tom [Rep.-R-MI-7]",2025-12-18,House - Veterans' Affairs,Referred to the House Committee on Veterans' Affairs.,2025-12-18,0,veterans,[]
1101,H.R. 6832,https://www.congress.gov/bill/119th-congress/house-bill/6832,119th Congress (2025-2026),"To amend the Federal Trade Commission Act to include requirements for recyclable, compostable, and reusable claims for packaging for a consumer product, and for other purposes.","Weber, Randy K. Sr. [Rep.-R-TX-14]",2025-12-17,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,2025-12-17,6,environment,"['M001212', 'M001240', 'G000605', 'L000600', 'D000628', 'J000295', 'M001215']"
1102,H.R. 6831,https://www.congress.gov/bill/119th-congress/house-bill/6831,119th Congress (2025-2026),Stop Padding Presidential Pockets Act,"Watson Coleman, Bonnie [Rep.-D-NJ-12]",2025-12-17,"House - Oversight and Government Reform, Judiciary, Ways and Means","Referred to the Committee on Oversight and Government Reform, and in addition to the Committees on the Judiciary, and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2025-12-17,3,public_safety,"['M001229', 'T000481', 'B001324', 'L000601']"
1103,H.R. 6830,https://www.congress.gov/bill/119th-congress/house-bill/6830,119th Congress (2025-2026),Fair Competition for Small Business Act of 2025,"Waters, Maxine [Rep.-D-CA-43]",2025-12-17,House - Judiciary,Referred to the House Committee on the Judiciary.,2025-12-17,11,healthcare,"['N000002', 'N000147', 'T000193', 'A000148', 'J000298', 'F000110', 'J000288', 'O000172', 'B001318', 'C001072', 'E000296']"
1104,H.R. 6829,https://www.congress.gov/bill/119th-congress/house-bill/6829,119th Congress (2025-2026),International Financial Access Improvements Act,"Waters, Maxine [Rep.-D-CA-43]",2025-12-17,"House - Foreign Affairs, Financial Services","Referred to the Committee on Foreign Affairs, and in addition to the Committee on Financial Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2025-12-17,0,funding,[]
1105,H.R. 6828,https://www.congress.gov/bill/119th-congress/house-bill/6828,119th Congress (2025-2026),Transnational Fentanyl Prevention Act,"Vindman, Eugene Simon [Rep.-D-VA-7]",2025-12-17,House - Intelligence (Permanent Select),Referred to the House Permanent Select Committee on Intelligence.,2025-12-17,1,healthcare,['M001219']
1106,H.R. 6827,https://www.congress.gov/bill/119th-congress/house-bill/6827,119th Congress (2025-2026),All American Metal Act,"Vindman, Eugene Simon [Rep.-D-VA-7]",2025-12-17,House - Ways and Means,Referred to the House Committee on Ways and Means.,2025-12-17,2,veterans,"['M001219', 'L000599']"
1107,H.R. 6826,https://www.congress.gov/bill/119th-congress/house-bill/6826,119th Congress (2025-2026),Critical Minerals Independence Act,"Vindman, Eugene Simon [Rep.-D-VA-7]",2025-12-17,House - Ways and Means,Referred to the House Committee on Ways and Means.,2025-12-17,2,environment,"['M001219', 'L000599']"
1108,H.R. 6825,https://www.congress.gov/bill/119th-congress/house-bill/6825,119th Congress (2025-2026),"To require Federal monitors and receivers of public housing agencies to testify before the Committee on Financial Services of the House of Representatives and the Committee on Banking, Housing, and Urban Affairs of the Senate.","Velázquez, Nydia M. [Rep.-D-NY-7]",2025-12-17,House - Financial Services,Referred to the House Committee on Financial Services.,2025-12-17,0,housing,[]
1109,H.R. 6824,https://www.congress.gov/bill/119th-congress/house-bill/6824,119th Congress (2025-2026),"To amend the Internal Revenue Code of 1986 to establish a tax credit for qualified combined heat and power system property, and for other purposes.","Van Duyne, Beth [Rep.-R-TX-24]",2025-12-17,House - Ways and Means,Referred to the House Committee on Ways and Means.,2025-12-17,1,funding,['K000392']
1110,H.R. 6823,https://www.congress.gov/bill/119th-congress/house-bill/6823,119th Congress (2025-2026),To direct the Secretary of Defense to establish a pilot program to facilitate the development of certain traumatic brain injury diagnostics for members of the Armed Forces.,"Trahan, Lori [Rep.-D-MA-3]",2025-12-17,House - Armed Services,Referred to the House Committee on Armed Services.,2025-12-17,4,public_safety,"['B001298', 'K000375', 'M001238', 'F000466']"
1111,H.R. 6822,https://www.congress.gov/bill/119th-congress/house-bill/6822,119th Congress (2025-2026),Stopping Grinch Bots Act of 2025,"Tonko, Paul [Rep.-D-NY-20]",2025-12-17,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,2025-12-17,0,Other,[]
1112,H.R. 6821,https://www.congress.gov/bill/119th-congress/house-bill/6821,119th Congress (2025-2026),Protect Our Students Act,"Titus, Dina [Rep.-D-NV-1]",2025-12-17,House - Transportation and Infrastructure,Referred to the Subcommittee on Highways and Transit.,2026-02-02,1,education,['N000147']
1113,H.R. 6820,https://www.congress.gov/bill/119th-congress/house-bill/6820,119th Congress (2025-2026),Airline Passenger Compensation Act of 2025,"Sykes, Emilia Strong [Rep.-D-OH-13]",2025-12-17,House - Transportation and Infrastructure,Referred to the Subcommittee on Aviation.,2026-02-02,4,public_safety,"['L000560', 'S001211', 'C001072', 'J000310']"
1114,H.R. 6819,https://www.congress.gov/bill/119th-congress/house-bill/6819,119th Congress (2025-2026),Bridge to Summer Nutrition Act of 2025,"Scott, David [Rep.-D-GA-13]",2025-12-17,"House - Agriculture, Education and Workforce","Referred to the Committee on Agriculture, and in addition to the Committee on Education and Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2025-12-17,12,healthcare,"['M001208', 'B000490', 'C001068', 'G000599', 'J000288', 'K000402', 'N000147', 'T000468', 'W000831', 'W000808', 'M001232', 'T000481']"
1115,H.R. 6818,https://www.congress.gov/bill/119th-congress/house-bill/6818,119th Congress (2025-2026),Part-Time Worker Bill of Rights Act,"Schakowsky, Janice D. [Rep.-D-IL-9]",2025-12-17,"House - Education and Workforce, House Administration, Oversight and Government Reform, Judiciary","Referred to the Committee on Education and Workforce, and in addition to the Committees on House Administration, Oversight and Government Reform, and the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2025-12-17,33,veterans,"['D000216', 'L000562', 'S001218', 'D000399', 'M000312', 'N000147', 'S001231', 'T000481', 'G000599', 'C001072', 'D000624', 'D000530', 'H001081', 'T000488', 'C001080', 'P000597', 'L000582', 'G000586', 'B001278', 'E000296', 'T000487', 'R000617', 'A000370', 'C001127', 'M001229', 'A000381', 'C001131', 'S001226', 'M001238', 'B001300', 'M001223', 'D000623', 'M001143']"
1116,H.R. 6817,https://www.congress.gov/bill/119th-congress/house-bill/6817,119th Congress (2025-2026),Home-Based Telemental Health Care Act of 2025,"Salinas, Andrea [Rep.-D-OR-6]",2025-12-17,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,2025-12-17,1,healthcare,['H001086']
1117,H.R. 6816,https://www.congress.gov/bill/119th-congress/house-bill/6816,119th Congress (2025-2026),Shadow Docket Sunlight Act of 2025,"Ross, Deborah K. [Rep.-D-NC-2]",2025-12-17,House - Judiciary,Referred to the House Committee on the Judiciary.,2025-12-17,5,environment,"['R000606', 'J000288', 'S001205', 'C001110', 'M001208']"
1118,H.R. 6815,https://www.congress.gov/bill/119th-congress/house-bill/6815,119th Congress (2025-2026),Environmental Justice Screening Tool Act of 2025,"Rivas, Luz M. [Rep.-D-CA-29]",2025-12-17,"House - Energy and Commerce, Natural Resources","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Natural Resources, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2025-12-17,15,environment,"['A000381', 'B001300', 'C001072', 'C001125', 'F000110', 'G000586', 'G000599', 'H001103', 'N000147', 'L000602', 'P000610', 'S001200', 'F000476', 'T000481', 'H001068']"
1119,H.R. 6814,https://www.congress.gov/bill/119th-congress/house-bill/6814,119th Congress (2025-2026),Veterans’ Burial Improvement Act of 2025,"Pappas, Chris [Rep.-D-NH-1]",2025-12-17,House - Veterans' Affairs,Referred to the Subcommittee on Disability Assistance and Memorial Affairs.,2026-01-22,1,veterans,['M001219']
1120,H.R. 6813,https://www.congress.gov/bill/119th-congress/house-bill/6813,119th Congress (2025-2026),VA Insurance Improvement Act,"Pappas, Chris [Rep.-D-NH-1]",2025-12-17,House - Veterans' Affairs,Referred to the Subcommittee on Disability Assistance and Memorial Affairs.,2026-01-22,1,veterans,['M001219']
1121,H.R. 6812,https://www.congress.gov/bill/119th-congress/house-bill/6812,119th Congress (2025-2026),Gulf War Survivor Benefits Update Act of 2025,"Pappas, Chris [Rep.-D-NH-1]",2025-12-17,House - Veterans' Affairs,Referred to the Subcommittee on Disability Assistance and Memorial Affairs.,2026-01-23,1,veterans,['Y000067']
1122,H.R. 6811,https://www.congress.gov/bill/119th-congress/house-bill/6811,119th Congress (2025-2026),Postal Suspension Transparency Act,"Pappas, Chris [Rep.-D-NH-1]",2025-12-17,House - Oversight and Government Reform,Referred to the House Committee on Oversight and Government Reform.,2025-12-17,4,public_safety,"['B001301', 'B001315', 'G000597', 'F000466']"
1123,H.R. 6810,https://www.congress.gov/bill/119th-congress/house-bill/6810,119th Congress (2025-2026),MAIL Theft Act of 2025,"Panetta, Jimmy [Rep.-D-CA-19]",2025-12-17,"House - Judiciary, Oversight and Government Reform","Referred to the Committee on the Judiciary, and in addition to the Committee on Oversight and Government Reform, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2025-12-17,2,public_safety,"['K000397', 'F000466']"
1124,H.R. 6809,https://www.congress.gov/bill/119th-congress/house-bill/6809,119th Congress (2025-2026),Alyssa’s Act of 2025,"Owens, Burgess [Rep.-R-UT-4]",2025-12-17,"House - Education and Workforce, Judiciary, Homeland Security, Oversight and Government Reform","Referred to the Committee on Education and Workforce, and in addition to the Committees on the Judiciary, Homeland Security, and Oversight and Government Reform, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2025-12-17,7,Other,"['G000583', 'D000600', 'M001217', 'G000593', 'J000288', 'D000230', 'F000466', 'V000138', 'B001298']"
1125,H.R. 6808,https://www.congress.gov/bill/119th-congress/house-bill/6808,119th Congress (2025-2026),"To designate the facility of the United States Postal Service located at 417 West 7th Street in Columbia, Tennessee, as the ""Pharmacist's Mate First Class John Harlan Willis Post Office Building"".","Ogles, Andrew [Rep.-R-TN-5]",2025-12-17,House - Oversight and Government Reform,Ordered to be Reported by Voice Vote.,2026-02-04,8,healthcare,"['H001086', 'B001309', 'F000459', 'D000616', 'R000612', 'V000139', 'K000392', 'C001068']"
1126,H.R. 6807,https://www.congress.gov/bill/119th-congress/house-bill/6807,119th Congress (2025-2026),Marijuana in Federally Assisted Housing Parity Act of 2025,"Norton, Eleanor Holmes [Del.-D-DC-At Large]",2025-12-17,House - Financial Services,Referred to the House Committee on Financial Services.,2025-12-17,0,housing,[]
1127,H.R. 6806,https://www.congress.gov/bill/119th-congress/house-bill/6806,119th Congress (2025-2026),Antisemitism Response and Prevention Act of 2025,"Nadler, Jerrold [Rep.-D-NY-12]",2025-12-17,"House - Judiciary, Education and Workforce, Homeland Security, Transportation and Infrastructure","Referred to the Committee on the Judiciary, and in addition to the Committees on Education and Workforce, Homeland Security, and Transportation and Infrastructure, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2025-12-17,23,environment,"['D000216', 'B001318', 'F000476', 'Q000023', 'C001068', 'D000399', 'P000034', 'N000147', 'S001145', 'J000309', 'M001223', 'M001196', 'B001285', 'G000587', 'M000312', 'C001067', 'R000606', 'B001278', 'S001205', 'J000305', 'C001091', 'C001117', 'T000193', 'L000607', 'R000599', 'K000400', 'D000530', 'C001131']"
1128,H.R. 6805,https://www.congress.gov/bill/119th-congress/house-bill/6805,119th Congress (2025-2026),Next Generation Nuclear Deployment Act,"Moore, Tim [Rep.-R-NC-14]",2025-12-17,"House - Science, Space, and Technology","Referred to the House Committee on Science, Space, and Technology.",2025-12-17,0,veterans,[]
1129,H.R. 6804,https://www.congress.gov/bill/119th-congress/house-bill/6804,119th Congress (2025-2026),Rural Hospital Flexibility Act of 2025,"Miller, Carol D. [Rep.-R-WV-1]",2025-12-17,House - Ways and Means,Referred to the House Committee on Ways and Means.,2025-12-17,2,rural,"['S001185', 'B000490']"
1130,H.R. 6803,https://www.congress.gov/bill/119th-congress/house-bill/6803,119th Congress (2025-2026),"To designate Newark Penn Station in Newark, New Jersey as the ""Donald M. Payne, Jr. Transit Center at Newark Penn Station"".","McIver, LaMonica [Rep.-D-NJ-10]",2025-12-17,House - Transportation and Infrastructure,"Referred to the Subcommittee on Railroads, Pipelines, and Hazardous Materials.",2026-02-02,10,infrastructure,"['N000188', 'V000133', 'C001136', 'S000522', 'G000583', 'P000034', 'K000398', 'M001226', 'P000621', 'W000822']"
1131,H.R. 6802,https://www.congress.gov/bill/119th-congress/house-bill/6802,119th Congress (2025-2026),CLEAR Act of 2025,"Maloy, Celeste [Rep.-R-UT-2]",2025-12-17,House - Agriculture,Referred to the House Committee on Agriculture.,2025-12-17,7,public_safety,"['F000469', 'M001213', 'O000086', 'K000403', 'H001096', 'M001219', 'V000135']"
1132,H.R. 6801,https://www.congress.gov/bill/119th-congress/house-bill/6801,119th Congress (2025-2026),American Citizenship Healthcare Integrity Act of 2025,"Mace, Nancy [Rep.-R-SC-1]",2025-12-17,"House - Ways and Means, Energy and Commerce","Referred to the Committee on Ways and Means, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2025-12-17,1,veterans,['B000825']
1133,H.R. 6800,https://www.congress.gov/bill/119th-congress/house-bill/6800,119th Congress (2025-2026),To amend the Internal Revenue Code of 1986 to terminate the tax-exempt status of terrorist supporting organizations.,"Kustoff, David [Rep.-R-TN-8]",2025-12-17,House - Ways and Means,Referred to the House Committee on Ways and Means.,2025-12-17,0,public_safety,[]
1134,H.R. 6799,https://www.congress.gov/bill/119th-congress/house-bill/6799,119th Congress (2025-2026),BRIDGE for Young-Onset Alzheimer’s Disease Act of 2025,"Kim, Young [Rep.-R-CA-40]",2025-12-17,House - Ways and Means,Referred to the House Committee on Ways and Means.,2025-12-17,5,healthcare,"['G000599', 'B001298', 'F000477', 'H001081', 'C001061']"
1135,H.R. 6798,https://www.congress.gov/bill/119th-congress/house-bill/6798,119th Congress (2025-2026),Calumet National Heritage Area Act,"Kelly, Robin L. [Rep.-D-IL-2]",2025-12-17,House - Natural Resources,Referred to the House Committee on Natural Resources.,2025-12-17,5,environment,"['Y000067', 'M001214', 'D000096', 'C001117', 'J000309']"
